Date,Price,Year,Month,Month Name,Year-Month,% Change,Moving Average
1964-07-01,1.29,1964,7,July,1964-07,0.0,1.29
1964-08-01,1.29,1964,8,August,1964-08,0.0,1.29
1964-09-01,1.29,1964,9,September,1964-09,0.0,1.29
1964-10-01,1.29,1964,10,October,1964-10,0.0,1.29
1964-11-01,1.29,1964,11,November,1964-11,0.0,1.29
1964-12-01,1.29,1964,12,December,1964-12,0.0,1.29
1965-01-01,1.29,1965,1,January,1965-01,0.0,1.29
1965-02-01,1.29,1965,2,February,1965-02,0.0,1.29
1965-03-01,1.29,1965,3,March,1965-03,0.0,1.29
1965-04-01,1.29,1965,4,April,1965-04,0.0,1.29
1965-05-01,1.29,1965,5,May,1965-05,0.0,1.29
1965-06-01,1.29,1965,6,June,1965-06,0.0,1.29
1965-07-01,1.29,1965,7,July,1965-07,0.0,1.29
1965-08-01,1.29,1965,8,August,1965-08,0.0,1.29
1965-09-01,1.29,1965,9,September,1965-09,0.0,1.29
1965-10-01,1.29,1965,10,October,1965-10,0.0,1.29
1965-11-01,1.29,1965,11,November,1965-11,0.0,1.29
1965-12-01,1.29,1965,12,December,1965-12,0.0,1.29
1966-01-01,1.29,1966,1,January,1966-01,0.0,1.29
1966-02-01,1.29,1966,2,February,1966-02,0.0,1.29
1966-03-01,1.29,1966,3,March,1966-03,0.0,1.29
1966-04-01,1.29,1966,4,April,1966-04,0.0,1.29
1966-05-01,1.29,1966,5,May,1966-05,0.0,1.29
1966-06-01,1.29,1966,6,June,1966-06,0.0,1.29
1966-07-01,1.29,1966,7,July,1966-07,0.0,1.29
1966-08-01,1.29,1966,8,August,1966-08,0.0,1.29
1966-09-01,1.29,1966,9,September,1966-09,0.0,1.29
1966-10-01,1.29,1966,10,October,1966-10,0.0,1.29
1966-11-01,1.29,1966,11,November,1966-11,0.0,1.29
1966-12-01,1.29,1966,12,December,1966-12,0.0,1.29
1967-01-01,1.29,1967,1,January,1967-01,0.0,1.29
1967-02-01,1.29,1967,2,February,1967-02,0.0,1.29
1967-03-01,1.29,1967,3,March,1967-03,0.0,1.29
1967-04-01,1.29,1967,4,April,1967-04,0.0,1.29
1967-05-01,1.3,1967,5,May,1967-05,0.22,1.29
1967-06-01,1.3,1967,6,June,1967-06,0.39,1.3
1967-07-01,1.59,1967,7,July,1967-07,22.44,1.4
1967-08-01,1.75,1967,8,August,1967-08,9.85,1.55
1967-09-01,1.68,1967,9,September,1967-09,-4.02,1.67
1967-10-01,1.79,1967,10,October,1967-10,6.34,1.74
1967-11-01,1.95,1967,11,November,1967-11,9.37,1.81
1967-12-01,2.06,1967,12,December,1967-12,5.47,1.93
1968-01-01,1.99,1968,1,January,1968-01,-3.4,2.0
1968-02-01,1.85,1968,2,February,1968-02,-6.79,1.97
1968-03-01,2.18,1968,3,March,1968-03,17.57,2.01
1968-04-01,2.2,1968,4,April,1968-04,1.02,2.08
1968-05-01,2.38,1968,5,May,1968-05,7.9,2.25
1968-06-01,2.46,1968,6,June,1968-06,3.67,2.35
1968-07-01,2.31,1968,7,July,1968-07,-6.1,2.38
1968-08-01,2.19,1968,8,August,1968-08,-5.15,2.32
1968-09-01,2.21,1968,9,September,1968-09,0.63,2.24
1968-10-01,1.97,1968,10,October,1968-10,-10.67,2.13
1968-11-01,2.02,1968,11,November,1968-11,2.28,2.07
1968-12-01,1.96,1968,12,December,1968-12,-2.9,1.98
1969-01-01,1.98,1969,1,January,1969-01,1.0,1.99
1969-02-01,1.84,1969,2,February,1969-02,-7.03,1.93
1969-03-01,1.83,1969,3,March,1969-03,-0.76,1.88
1969-04-01,1.78,1969,4,April,1969-04,-2.61,1.81
1969-05-01,1.76,1969,5,May,1969-05,-0.96,1.79
1969-06-01,1.65,1969,6,June,1969-06,-6.56,1.73
1969-07-01,1.62,1969,7,July,1969-07,-1.65,1.67
1969-08-01,1.65,1969,8,August,1969-08,2.12,1.64
1969-09-01,1.79,1969,9,September,1969-09,8.04,1.69
1969-10-01,1.87,1969,10,October,1969-10,4.87,1.77
1969-11-01,1.92,1969,11,November,1969-11,2.7,1.86
1969-12-01,1.81,1969,12,December,1969-12,-6.03,1.87
1970-01-01,1.88,1970,1,January,1970-01,3.84,1.87
1970-02-01,1.9,1970,2,February,1970-02,1.03,1.86
1970-03-01,1.89,1970,3,March,1970-03,-0.39,1.89
1970-04-01,1.85,1970,4,April,1970-04,-1.89,1.88
1970-05-01,1.67,1970,5,May,1970-05,-9.87,1.8
1970-06-01,1.64,1970,6,June,1970-06,-1.83,1.72
1970-07-01,1.69,1970,7,July,1970-07,2.88,1.67
1970-08-01,1.8,1970,8,August,1970-08,6.59,1.71
1970-09-01,1.8,1970,9,September,1970-09,0.22,1.76
1970-10-01,1.75,1970,10,October,1970-10,-3.1,1.78
1970-11-01,1.76,1970,11,November,1970-11,0.84,1.77
1970-12-01,1.63,1970,12,December,1970-12,-7.13,1.71
1971-01-01,1.64,1971,1,January,1971-01,0.29,1.68
1971-02-01,1.6,1971,2,February,1971-02,-2.4,1.62
1971-03-01,1.67,1971,3,March,1971-03,4.29,1.64
1971-04-01,1.73,1971,4,April,1971-04,3.42,1.67
1971-05-01,1.67,1971,5,May,1971-05,-3.44,1.69
1971-06-01,1.61,1971,6,June,1971-06,-3.52,1.67
1971-07-01,1.58,1971,7,July,1971-07,-1.7,1.62
1971-08-01,1.59,1971,8,August,1971-08,0.37,1.59
1971-09-01,1.42,1971,9,September,1971-09,-10.41,1.53
1971-10-01,1.34,1971,10,October,1971-10,-6.02,1.45
1971-11-01,1.32,1971,11,November,1971-11,-1.19,1.36
1971-12-01,1.39,1971,12,December,1971-12,5.58,1.35
1972-01-01,1.47,1972,1,January,1972-01,5.71,1.4
1972-02-01,1.5,1972,2,February,1972-02,2.07,1.46
1972-03-01,1.54,1972,3,March,1972-03,2.18,1.5
1972-04-01,1.57,1972,4,April,1972-04,2.32,1.54
1972-05-01,1.58,1972,5,May,1972-05,0.7,1.56
1972-06-01,1.57,1972,6,June,1972-06,-0.88,1.57
1972-07-01,1.74,1972,7,July,1972-07,10.63,1.63
1972-08-01,1.85,1972,8,August,1972-08,6.35,1.72
1972-09-01,1.78,1972,9,September,1972-09,-3.76,1.79
1972-10-01,1.81,1972,10,October,1972-10,1.91,1.81
1972-11-01,1.83,1972,11,November,1972-11,1.21,1.81
1972-12-01,1.98,1972,12,December,1972-12,7.83,1.87
1973-01-01,2.02,1973,1,January,1973-01,2.05,1.94
1973-02-01,2.24,1973,2,February,1973-02,10.89,2.08
1973-03-01,2.31,1973,3,March,1973-03,3.26,2.19
1973-04-01,2.21,1973,4,April,1973-04,-4.42,2.25
1973-05-01,2.4,1973,5,May,1973-05,8.79,2.31
1973-06-01,2.62,1973,6,June,1973-06,9.15,2.41
1973-07-01,2.71,1973,7,July,1973-07,3.23,2.58
1973-08-01,2.64,1973,8,August,1973-08,-2.55,2.65
1973-09-01,2.68,1973,9,September,1973-09,1.46,2.67
1973-10-01,2.89,1973,10,October,1973-10,7.87,2.73
1973-11-01,2.86,1973,11,November,1973-11,-0.89,2.81
1973-12-01,3.14,1973,12,December,1973-12,9.68,2.96
1974-01-01,3.64,1974,1,January,1974-01,15.95,3.21
1974-02-01,5.36,1974,2,February,1974-02,47.35,4.04
1974-03-01,5.33,1974,3,March,1974-03,-0.62,4.77
1974-04-01,5.04,1974,4,April,1974-04,-5.44,5.24
1974-05-01,5.43,1974,5,May,1974-05,7.86,5.26
1974-06-01,4.9,1974,6,June,1974-06,-9.86,5.12
1974-07-01,4.42,1974,7,July,1974-07,-9.82,4.91
1974-08-01,4.43,1974,8,August,1974-08,0.36,4.58
1974-09-01,4.05,1974,9,September,1974-09,-8.63,4.3
1974-10-01,4.83,1974,10,October,1974-10,19.29,4.44
1974-11-01,4.69,1974,11,November,1974-11,-2.81,4.52
1974-12-01,4.39,1974,12,December,1974-12,-6.45,4.64
1975-01-01,4.19,1975,1,January,1975-01,-4.53,4.43
1975-02-01,4.37,1975,2,February,1975-02,4.23,4.32
1975-03-01,4.33,1975,3,March,1975-03,-0.88,4.3
1975-04-01,4.21,1975,4,April,1975-04,-2.82,4.3
1975-05-01,4.54,1975,5,May,1975-05,7.81,4.36
1975-06-01,4.49,1975,6,June,1975-06,-1.08,4.41
1975-07-01,4.7,1975,7,July,1975-07,4.8,4.58
1975-08-01,4.93,1975,8,August,1975-08,4.69,4.71
1975-09-01,4.52,1975,9,September,1975-09,-8.31,4.72
1975-10-01,4.33,1975,10,October,1975-10,-4.14,4.59
1975-11-01,4.33,1975,11,November,1975-11,0.08,4.39
1975-12-01,4.08,1975,12,December,1975-12,-5.71,4.25
1976-01-01,4.06,1976,1,January,1976-01,-0.54,4.16
1976-02-01,4.09,1976,2,February,1976-02,0.59,4.08
1976-03-01,4.19,1976,3,March,1976-03,2.51,4.11
1976-04-01,4.36,1976,4,April,1976-04,3.97,4.21
1976-05-01,4.49,1976,5,May,1976-05,3.05,4.34
1976-06-01,4.81,1976,6,June,1976-06,7.2,4.55
1976-07-01,4.76,1976,7,July,1976-07,-1.06,4.69
1976-08-01,4.28,1976,8,August,1976-08,-10.17,4.62
1976-09-01,4.3,1976,9,September,1976-09,0.63,4.45
1976-10-01,4.22,1976,10,October,1976-10,-1.95,4.27
1976-11-01,4.35,1976,11,November,1976-11,3.17,4.29
1976-12-01,4.36,1976,12,December,1976-12,0.16,4.31
1977-01-01,4.42,1977,1,January,1977-01,1.36,4.38
1977-02-01,4.53,1977,2,February,1977-02,2.56,4.44
1977-03-01,4.87,1977,3,March,1977-03,7.34,4.61
1977-04-01,4.79,1977,4,April,1977-04,-1.55,4.73
1977-05-01,4.7,1977,5,May,1977-05,-1.88,4.79
1977-06-01,4.48,1977,6,June,1977-06,-4.64,4.66
1977-07-01,4.53,1977,7,July,1977-07,1.13,4.57
1977-08-01,4.47,1977,8,August,1977-08,-1.3,4.5
1977-09-01,4.54,1977,9,September,1977-09,1.45,4.51
1977-10-01,4.76,1977,10,October,1977-10,4.86,4.59
1977-11-01,4.83,1977,11,November,1977-11,1.41,4.71
1977-12-01,4.72,1977,12,December,1977-12,-2.26,4.77
1978-01-01,4.92,1978,1,January,1978-01,4.39,4.82
1978-02-01,4.96,1978,2,February,1978-02,0.75,4.87
1978-03-01,5.27,1978,3,March,1978-03,6.3,5.05
1978-04-01,5.17,1978,4,April,1978-04,-2.01,5.13
1978-05-01,5.13,1978,5,May,1978-05,-0.65,5.19
1978-06-01,5.33,1978,6,June,1978-06,3.8,5.21
1978-07-01,5.36,1978,7,July,1978-07,0.61,5.27
1978-08-01,5.54,1978,8,August,1978-08,3.26,5.41
1978-09-01,5.59,1978,9,September,1978-09,0.94,5.5
1978-10-01,5.94,1978,10,October,1978-10,6.38,5.69
1978-11-01,5.87,1978,11,November,1978-11,-1.22,5.8
1978-12-01,5.94,1978,12,December,1978-12,1.07,5.92
1979-01-01,6.2,1979,1,January,1979-01,4.51,6.0
1979-02-01,7.35,1979,2,February,1979-02,18.49,6.5
1979-03-01,7.42,1979,3,March,1979-03,0.9,6.99
1979-04-01,7.44,1979,4,April,1979-04,0.29,7.4
1979-05-01,8.38,1979,5,May,1979-05,12.62,7.74
1979-06-01,8.56,1979,6,June,1979-06,2.19,8.12
1979-07-01,9.05,1979,7,July,1979-07,5.78,8.66
1979-08-01,9.31,1979,8,August,1979-08,2.79,8.97
1979-09-01,13.76,1979,9,September,1979-09,47.84,10.71
1979-10-01,16.63,1979,10,October,1979-10,20.89,13.23
1979-11-01,16.65,1979,11,November,1979-11,0.1,15.68
1979-12-01,22.45,1979,12,December,1979-12,34.84,18.58
1980-01-01,38.88,1980,1,January,1980-01,73.16,25.99
1980-02-01,35.24,1980,2,February,1980-02,-9.34,32.19
1980-03-01,24.73,1980,3,March,1980-03,-29.83,32.95
1980-04-01,14.95,1980,4,April,1980-04,-39.55,24.97
1980-05-01,12.68,1980,5,May,1980-05,-15.2,17.45
1980-06-01,15.78,1980,6,June,1980-06,24.51,14.47
1980-07-01,16.32,1980,7,July,1980-07,3.41,14.93
1980-08-01,15.94,1980,8,August,1980-08,-2.33,16.02
1980-09-01,19.89,1980,9,September,1980-09,24.75,17.38
1980-10-01,20.2,1980,10,October,1980-10,1.58,18.68
1980-11-01,18.58,1980,11,November,1980-11,-8.01,19.56
1980-12-01,16.46,1980,12,December,1980-12,-11.41,18.41
1981-01-01,14.79,1981,1,January,1981-01,-10.16,16.61
1981-02-01,13.06,1981,2,February,1981-02,-11.66,14.77
1981-03-01,12.34,1981,3,March,1981-03,-5.54,13.4
1981-04-01,11.47,1981,4,April,1981-04,-7.03,12.29
1981-05-01,10.85,1981,5,May,1981-05,-5.43,11.55
1981-06-01,10.0,1981,6,June,1981-06,-7.85,10.77
1981-07-01,8.58,1981,7,July,1981-07,-14.17,9.81
1981-08-01,8.92,1981,8,August,1981-08,3.9,9.17
1981-09-01,10.05,1981,9,September,1981-09,12.72,9.18
1981-10-01,9.23,1981,10,October,1981-10,-8.18,9.4
1981-11-01,8.54,1981,11,November,1981-11,-7.47,9.27
1981-12-01,8.45,1981,12,December,1981-12,-1.06,8.74
1982-01-01,7.99,1982,1,January,1982-01,-5.45,8.33
1982-02-01,8.28,1982,2,February,1982-02,3.71,8.24
1982-03-01,7.23,1982,3,March,1982-03,-12.7,7.84
1982-04-01,7.31,1982,4,April,1982-04,1.05,7.61
1982-05-01,6.68,1982,5,May,1982-05,-8.56,7.07
1982-06-01,5.56,1982,6,June,1982-06,-16.78,6.52
1982-07-01,6.46,1982,7,July,1982-07,16.2,6.24
1982-08-01,7.11,1982,8,August,1982-08,9.98,6.38
1982-09-01,8.78,1982,9,September,1982-09,23.55,7.45
1982-10-01,9.39,1982,10,October,1982-10,6.9,8.43
1982-11-01,9.79,1982,11,November,1982-11,4.29,9.32
1982-12-01,10.57,1982,12,December,1982-12,7.95,9.92
1983-01-01,12.34,1983,1,January,1983-01,16.75,10.9
1983-02-01,13.98,1983,2,February,1983-02,13.26,12.29
1983-03-01,10.64,1983,3,March,1983-03,-23.87,12.32
1983-04-01,11.61,1983,4,April,1983-04,9.14,12.08
1983-05-01,12.92,1983,5,May,1983-05,11.22,11.72
1983-06-01,11.74,1983,6,June,1983-06,-9.11,12.09
1983-07-01,12.03,1983,7,July,1983-07,2.47,12.23
1983-08-01,12.06,1983,8,August,1983-08,0.28,11.94
1983-09-01,11.96,1983,9,September,1983-09,-0.88,12.02
1983-10-01,9.89,1983,10,October,1983-10,-17.31,11.3
1983-11-01,8.81,1983,11,November,1983-11,-10.87,10.22
1983-12-01,9.15,1983,12,December,1983-12,3.78,9.28
1984-01-01,8.25,1984,1,January,1984-01,-9.75,8.74
1984-02-01,9.12,1984,2,February,1984-02,10.47,8.84
1984-03-01,9.65,1984,3,March,1984-03,5.81,9.01
1984-04-01,9.25,1984,4,April,1984-04,-4.15,9.34
1984-05-01,8.97,1984,5,May,1984-05,-3.02,9.29
1984-06-01,8.77,1984,6,June,1984-06,-2.18,9.0
1984-07-01,7.46,1984,7,July,1984-07,-15.01,8.4
1984-08-01,7.6,1984,8,August,1984-08,1.91,7.94
1984-09-01,7.25,1984,9,September,1984-09,-4.53,7.44
1984-10-01,7.29,1984,10,October,1984-10,0.51,7.38
1984-11-01,7.49,1984,11,November,1984-11,2.73,7.34
1984-12-01,6.64,1984,12,December,1984-12,-11.4,7.14
1985-01-01,6.1,1985,1,January,1985-01,-8.08,6.74
1985-02-01,6.06,1985,2,February,1985-02,-0.6,6.27
1985-03-01,5.99,1985,3,March,1985-03,-1.13,6.05
1985-04-01,6.44,1985,4,April,1985-04,7.52,6.17
1985-05-01,6.27,1985,5,May,1985-05,-2.73,6.24
1985-06-01,6.18,1985,6,June,1985-06,-1.46,6.3
1985-07-01,6.0,1985,7,July,1985-07,-2.87,6.15
1985-08-01,6.15,1985,8,August,1985-08,2.52,6.11
1985-09-01,6.05,1985,9,September,1985-09,-1.56,6.07
1985-10-01,6.18,1985,10,October,1985-10,2.01,6.13
1985-11-01,6.1,1985,11,November,1985-11,-1.21,6.11
1985-12-01,5.85,1985,12,December,1985-12,-4.09,6.04
1986-01-01,6.02,1986,1,January,1986-01,2.81,5.99
1986-02-01,5.86,1986,2,February,1986-02,-2.62,5.91
1986-03-01,5.62,1986,3,March,1986-03,-4.03,5.83
1986-04-01,5.19,1986,4,April,1986-04,-7.73,5.56
1986-05-01,5.07,1986,5,May,1986-05,-2.22,5.29
1986-06-01,5.13,1986,6,June,1986-06,1.17,5.13
1986-07-01,5.03,1986,7,July,1986-07,-2.07,5.08
1986-08-01,5.18,1986,8,August,1986-08,3.11,5.11
1986-09-01,5.63,1986,9,September,1986-09,8.64,5.28
1986-10-01,5.64,1986,10,October,1986-10,0.18,5.48
1986-11-01,5.55,1986,11,November,1986-11,-1.57,5.61
1986-12-01,5.35,1986,12,December,1986-12,-3.62,5.51
1987-01-01,5.51,1987,1,January,1987-01,2.93,5.47
1987-02-01,5.48,1987,2,February,1987-02,-0.41,5.45
1987-03-01,5.66,1987,3,March,1987-03,3.29,5.55
1987-04-01,7.35,1987,4,April,1987-04,29.75,6.17
1987-05-01,8.46,1987,5,May,1987-05,15.11,7.16
1987-06-01,7.42,1987,6,June,1987-06,-12.34,7.74
1987-07-01,7.61,1987,7,July,1987-07,2.59,7.83
1987-08-01,7.84,1987,8,August,1987-08,3.07,7.62
1987-09-01,7.61,1987,9,September,1987-09,-3.01,7.69
1987-10-01,7.61,1987,10,October,1987-10,0.01,7.69
1987-11-01,6.76,1987,11,November,1987-11,-11.11,7.33
1987-12-01,6.81,1987,12,December,1987-12,0.75,7.06
1988-01-01,6.74,1988,1,January,1988-01,-1.0,6.77
1988-02-01,6.34,1988,2,February,1988-02,-5.98,6.63
1988-03-01,6.41,1988,3,March,1988-03,1.09,6.5
1988-04-01,6.48,1988,4,April,1988-04,1.09,6.41
1988-05-01,6.54,1988,5,May,1988-05,0.93,6.48
1988-06-01,7.02,1988,6,June,1988-06,7.26,6.68
1988-07-01,7.04,1988,7,July,1988-07,0.37,6.87
1988-08-01,6.71,1988,8,August,1988-08,-4.66,6.92
1988-09-01,6.38,1988,9,September,1988-09,-4.99,6.71
1988-10-01,6.28,1988,10,October,1988-10,-1.52,6.46
1988-11-01,6.29,1988,11,November,1988-11,0.21,6.32
1988-12-01,6.12,1988,12,December,1988-12,-2.7,6.23
1989-01-01,6.0,1989,1,January,1989-01,-2.11,6.14
1989-02-01,5.88,1989,2,February,1989-02,-1.84,6.0
1989-03-01,5.96,1989,3,March,1989-03,1.27,5.95
1989-04-01,5.79,1989,4,April,1989-04,-2.8,5.88
1989-05-01,5.45,1989,5,May,1989-05,-5.86,5.73
1989-06-01,5.27,1989,6,June,1989-06,-3.34,5.51
1989-07-01,5.22,1989,7,July,1989-07,-1.02,5.31
1989-08-01,5.18,1989,8,August,1989-08,-0.66,5.22
1989-09-01,5.13,1989,9,September,1989-09,-0.94,5.18
1989-10-01,5.14,1989,10,October,1989-10,0.22,5.15
1989-11-01,5.48,1989,11,November,1989-11,6.58,5.25
1989-12-01,5.57,1989,12,December,1989-12,1.56,5.4
1990-01-01,5.25,1990,1,January,1990-01,-5.79,5.43
1990-02-01,5.29,1990,2,February,1990-02,0.82,5.37
1990-03-01,5.08,1990,3,March,1990-03,-4.02,5.2
1990-04-01,5.07,1990,4,April,1990-04,-0.22,5.14
1990-05-01,5.08,1990,5,May,1990-05,0.27,5.07
1990-06-01,4.92,1990,6,June,1990-06,-3.17,5.02
1990-07-01,4.87,1990,7,July,1990-07,-0.88,4.96
1990-08-01,5.01,1990,8,August,1990-08,2.73,4.93
1990-09-01,4.8,1990,9,September,1990-09,-4.08,4.9
1990-10-01,4.39,1990,10,October,1990-10,-8.63,4.73
1990-11-01,4.17,1990,11,November,1990-11,-4.93,4.46
1990-12-01,4.08,1990,12,December,1990-12,-2.34,4.21
1991-01-01,4.05,1991,1,January,1991-01,-0.57,4.1
1991-02-01,3.74,1991,2,February,1991-02,-7.75,3.95
1991-03-01,3.94,1991,3,March,1991-03,5.49,3.91
1991-04-01,3.98,1991,4,April,1991-04,0.83,3.89
1991-05-01,4.05,1991,5,May,1991-05,1.78,3.99
1991-06-01,4.39,1991,6,June,1991-06,8.49,4.14
1991-07-01,4.35,1991,7,July,1991-07,-0.96,4.26
1991-08-01,3.96,1991,8,August,1991-08,-8.98,4.23
1991-09-01,4.04,1991,9,September,1991-09,2.03,4.11
1991-10-01,4.12,1991,10,October,1991-10,1.93,4.04
1991-11-01,4.07,1991,11,November,1991-11,-1.05,4.08
1991-12-01,3.94,1991,12,December,1991-12,-3.18,4.04
1992-01-01,4.11,1992,1,January,1992-01,4.24,4.04
1992-02-01,4.15,1992,2,February,1992-02,0.87,4.07
1992-03-01,4.11,1992,3,March,1992-03,-0.86,4.12
1992-04-01,4.05,1992,4,April,1992-04,-1.45,4.1
1992-05-01,4.07,1992,5,May,1992-05,0.52,4.08
1992-06-01,4.06,1992,6,June,1992-06,-0.19,4.06
1992-07-01,3.97,1992,7,July,1992-07,-2.37,4.03
1992-08-01,3.81,1992,8,August,1992-08,-3.91,3.95
1992-09-01,3.77,1992,9,September,1992-09,-1.06,3.85
1992-10-01,3.75,1992,10,October,1992-10,-0.51,3.78
1992-11-01,3.77,1992,11,November,1992-11,0.49,3.77
1992-12-01,3.73,1992,12,December,1992-12,-1.21,3.75
1993-01-01,3.68,1993,1,January,1993-01,-1.12,3.73
1993-02-01,3.66,1993,2,February,1993-02,-0.76,3.69
1993-03-01,3.65,1993,3,March,1993-03,-0.23,3.66
1993-04-01,3.95,1993,4,April,1993-04,8.35,3.75
1993-05-01,4.46,1993,5,May,1993-05,12.97,4.02
1993-06-01,4.38,1993,6,June,1993-06,-1.98,4.26
1993-07-01,5.02,1993,7,July,1993-07,14.71,4.62
1993-08-01,4.84,1993,8,August,1993-08,-3.62,4.74
1993-09-01,4.22,1993,9,September,1993-09,-12.8,4.69
1993-10-01,4.34,1993,10,October,1993-10,2.95,4.47
1993-11-01,4.53,1993,11,November,1993-11,4.38,4.36
1993-12-01,4.97,1993,12,December,1993-12,9.67,4.62
1994-01-01,5.15,1994,1,January,1994-01,3.5,4.88
1994-02-01,5.25,1994,2,February,1994-02,1.97,5.12
1994-03-01,5.44,1994,3,March,1994-03,3.58,5.28
1994-04-01,5.35,1994,4,April,1994-04,-1.53,5.34
1994-05-01,5.42,1994,5,May,1994-05,1.26,5.4
1994-06-01,5.39,1994,6,June,1994-06,-0.59,5.39
1994-07-01,5.28,1994,7,July,1994-07,-1.95,5.36
1994-08-01,5.2,1994,8,August,1994-08,-1.61,5.29
1994-09-01,5.52,1994,9,September,1994-09,6.28,5.33
1994-10-01,5.45,1994,10,October,1994-10,-1.26,5.39
1994-11-01,5.19,1994,11,November,1994-11,-4.8,5.39
1994-12-01,4.78,1994,12,December,1994-12,-7.95,5.14
1995-01-01,4.77,1995,1,January,1995-01,-0.13,4.92
1995-02-01,4.72,1995,2,February,1995-02,-1.08,4.76
1995-03-01,4.65,1995,3,March,1995-03,-1.55,4.71
1995-04-01,5.48,1995,4,April,1995-04,17.84,4.95
1995-05-01,5.56,1995,5,May,1995-05,1.5,5.23
1995-06-01,5.36,1995,6,June,1995-06,-3.53,5.47
1995-07-01,5.16,1995,7,July,1995-07,-3.71,5.36
1995-08-01,5.4,1995,8,August,1995-08,4.52,5.31
1995-09-01,5.43,1995,9,September,1995-09,0.58,5.33
1995-10-01,5.37,1995,10,October,1995-10,-1.02,5.4
1995-11-01,5.32,1995,11,November,1995-11,-1.1,5.37
1995-12-01,5.18,1995,12,December,1995-12,-2.6,5.29
1996-01-01,5.46,1996,1,January,1996-01,5.48,5.32
1996-02-01,5.66,1996,2,February,1996-02,3.59,5.43
1996-03-01,5.52,1996,3,March,1996-03,-2.34,5.55
1996-04-01,5.42,1996,4,April,1996-04,-1.87,5.53
1996-05-01,5.37,1996,5,May,1996-05,-1.03,5.44
1996-06-01,5.16,1996,6,June,1996-06,-3.8,5.32
1996-07-01,5.07,1996,7,July,1996-07,-1.86,5.2
1996-08-01,5.14,1996,8,August,1996-08,1.38,5.12
1996-09-01,5.04,1996,9,September,1996-09,-1.88,5.08
1996-10-01,4.93,1996,10,October,1996-10,-2.21,5.03
1996-11-01,4.83,1996,11,November,1996-11,-1.92,4.93
